clause_text,risk_label
The agreement includes penalty fees and unlimited liability with obligations reviewed by counsel.,High
The agreement includes exclusive remedy and auto renewal with obligations reviewed by counsel.,High
The agreement includes exclusive remedy and auto renewal with obligations reviewed by counsel.,High
The agreement includes penalty fees and missing audit rights with obligations reviewed by counsel.,High
The agreement includes defined service levels and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes mutual confidentiality and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes defined service levels and clear payment terms with obligations reviewed by counsel.,Low
The agreement includes unlimited liability and missing audit rights with obligations reviewed by counsel.,High
The agreement includes standard notice period and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes defined service levels and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes penalty fees and unlimited liability with obligations reviewed by counsel.,High
The agreement includes defined service levels and standard notice period with obligations reviewed by counsel.,Low
The agreement includes auto renewal and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes no termination right and auto renewal with obligations reviewed by counsel.,High
The agreement includes exclusive remedy and penalty fees with obligations reviewed by counsel.,High
The agreement includes missing audit rights and auto renewal with obligations reviewed by counsel.,High
The agreement includes data protection schedule and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes standard notice period and defined service levels with obligations reviewed by counsel.,Low
The agreement includes missing audit rights and auto renewal with obligations reviewed by counsel.,High
The agreement includes standard notice period and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes auto renewal and penalty fees with obligations reviewed by counsel.,High
The agreement includes data protection schedule and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes no termination right and missing audit rights with obligations reviewed by counsel.,High
The agreement includes mutual confidentiality and clear payment terms with obligations reviewed by counsel.,Low
The agreement includes standard notice period and clear payment terms with obligations reviewed by counsel.,Low
The agreement includes data protection schedule and defined service levels with obligations reviewed by counsel.,Low
The agreement includes defined service levels and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes limited indemnity and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes no termination right and unlimited liability with obligations reviewed by counsel.,High
The agreement includes missing audit rights and unlimited liability with obligations reviewed by counsel.,High
The agreement includes data protection schedule and defined service levels with obligations reviewed by counsel.,Low
The agreement includes defined service levels and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes auto renewal and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes exclusive remedy and auto renewal with obligations reviewed by counsel.,High
The agreement includes clear payment terms and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes standard notice period and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes limited indemnity and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes auto renewal and unlimited liability with obligations reviewed by counsel.,High
The agreement includes exclusive remedy and missing audit rights with obligations reviewed by counsel.,High
The agreement includes no termination right and auto renewal with obligations reviewed by counsel.,High
The agreement includes missing audit rights and unlimited liability with obligations reviewed by counsel.,High
The agreement includes limited indemnity and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes clear payment terms and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes data protection schedule and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes mutual confidentiality and clear payment terms with obligations reviewed by counsel.,Low
The agreement includes unlimited liability and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes unlimited liability and penalty fees with obligations reviewed by counsel.,High
The agreement includes auto renewal and unlimited liability with obligations reviewed by counsel.,High
The agreement includes auto renewal and penalty fees with obligations reviewed by counsel.,High
The agreement includes unlimited liability and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes unlimited liability and missing audit rights with obligations reviewed by counsel.,High
The agreement includes data protection schedule and defined service levels with obligations reviewed by counsel.,Low
The agreement includes penalty fees and no termination right with obligations reviewed by counsel.,High
The agreement includes standard notice period and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes data protection schedule and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes auto renewal and missing audit rights with obligations reviewed by counsel.,High
The agreement includes penalty fees and no termination right with obligations reviewed by counsel.,High
The agreement includes unlimited liability and missing audit rights with obligations reviewed by counsel.,High
The agreement includes mutual confidentiality and defined service levels with obligations reviewed by counsel.,Low
The agreement includes unlimited liability and auto renewal with obligations reviewed by counsel.,High
The agreement includes standard notice period and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes mutual confidentiality and standard notice period with obligations reviewed by counsel.,Low
The agreement includes no termination right and auto renewal with obligations reviewed by counsel.,High
The agreement includes defined service levels and standard notice period with obligations reviewed by counsel.,Low
The agreement includes defined service levels and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes standard notice period and clear payment terms with obligations reviewed by counsel.,Low
The agreement includes unlimited liability and missing audit rights with obligations reviewed by counsel.,High
The agreement includes mutual confidentiality and defined service levels with obligations reviewed by counsel.,Low
The agreement includes auto renewal and unlimited liability with obligations reviewed by counsel.,High
The agreement includes no termination right and auto renewal with obligations reviewed by counsel.,High
The agreement includes auto renewal and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes missing audit rights and auto renewal with obligations reviewed by counsel.,High
The agreement includes unlimited liability and no termination right with obligations reviewed by counsel.,High
The agreement includes auto renewal and penalty fees with obligations reviewed by counsel.,High
The agreement includes mutual confidentiality and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes limited indemnity and standard notice period with obligations reviewed by counsel.,Low
The agreement includes unlimited liability and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes exclusive remedy and missing audit rights with obligations reviewed by counsel.,High
The agreement includes exclusive remedy and auto renewal with obligations reviewed by counsel.,High
The agreement includes penalty fees and unlimited liability with obligations reviewed by counsel.,High
The agreement includes auto renewal and penalty fees with obligations reviewed by counsel.,High
The agreement includes mutual confidentiality and clear payment terms with obligations reviewed by counsel.,Low
The agreement includes clear payment terms and standard notice period with obligations reviewed by counsel.,Low
The agreement includes clear payment terms and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes clear payment terms and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes exclusive remedy and auto renewal with obligations reviewed by counsel.,High
The agreement includes exclusive remedy and no termination right with obligations reviewed by counsel.,High
The agreement includes mutual confidentiality and defined service levels with obligations reviewed by counsel.,Low
The agreement includes clear payment terms and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes limited indemnity and defined service levels with obligations reviewed by counsel.,Low
The agreement includes clear payment terms and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes unlimited liability and missing audit rights with obligations reviewed by counsel.,High
The agreement includes unlimited liability and missing audit rights with obligations reviewed by counsel.,High
The agreement includes mutual confidentiality and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes auto renewal and unlimited liability with obligations reviewed by counsel.,High
The agreement includes data protection schedule and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes penalty fees and auto renewal with obligations reviewed by counsel.,High
The agreement includes penalty fees and no termination right with obligations reviewed by counsel.,High
The agreement includes standard notice period and defined service levels with obligations reviewed by counsel.,Low
The agreement includes unlimited liability and auto renewal with obligations reviewed by counsel.,High
The agreement includes penalty fees and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes limited indemnity and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes mutual confidentiality and defined service levels with obligations reviewed by counsel.,Low
The agreement includes data protection schedule and standard notice period with obligations reviewed by counsel.,Low
The agreement includes data protection schedule and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes missing audit rights and unlimited liability with obligations reviewed by counsel.,High
The agreement includes no termination right and auto renewal with obligations reviewed by counsel.,High
The agreement includes limited indemnity and clear payment terms with obligations reviewed by counsel.,Low
The agreement includes mutual confidentiality and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes penalty fees and auto renewal with obligations reviewed by counsel.,High
The agreement includes mutual confidentiality and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes missing audit rights and unlimited liability with obligations reviewed by counsel.,High
The agreement includes defined service levels and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes clear payment terms and defined service levels with obligations reviewed by counsel.,Low
The agreement includes mutual confidentiality and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes data protection schedule and clear payment terms with obligations reviewed by counsel.,Low
The agreement includes standard notice period and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes clear payment terms and standard notice period with obligations reviewed by counsel.,Low
The agreement includes unlimited liability and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes no termination right and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes mutual confidentiality and standard notice period with obligations reviewed by counsel.,Low
The agreement includes no termination right and unlimited liability with obligations reviewed by counsel.,High
The agreement includes no termination right and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes no termination right and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes exclusive remedy and penalty fees with obligations reviewed by counsel.,High
The agreement includes missing audit rights and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes standard notice period and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes defined service levels and standard notice period with obligations reviewed by counsel.,Low
The agreement includes data protection schedule and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes exclusive remedy and unlimited liability with obligations reviewed by counsel.,High
The agreement includes limited indemnity and standard notice period with obligations reviewed by counsel.,Low
The agreement includes defined service levels and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes no termination right and penalty fees with obligations reviewed by counsel.,High
The agreement includes missing audit rights and unlimited liability with obligations reviewed by counsel.,High
The agreement includes limited indemnity and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes unlimited liability and no termination right with obligations reviewed by counsel.,High
The agreement includes penalty fees and unlimited liability with obligations reviewed by counsel.,High
The agreement includes no termination right and missing audit rights with obligations reviewed by counsel.,High
The agreement includes defined service levels and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes auto renewal and penalty fees with obligations reviewed by counsel.,High
The agreement includes defined service levels and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes penalty fees and auto renewal with obligations reviewed by counsel.,High
The agreement includes limited indemnity and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes limited indemnity and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes no termination right and penalty fees with obligations reviewed by counsel.,High
The agreement includes standard notice period and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes defined service levels and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes data protection schedule and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes exclusive remedy and no termination right with obligations reviewed by counsel.,High
The agreement includes unlimited liability and missing audit rights with obligations reviewed by counsel.,High
The agreement includes standard notice period and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes clear payment terms and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes defined service levels and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes standard notice period and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes no termination right and missing audit rights with obligations reviewed by counsel.,High
The agreement includes unlimited liability and missing audit rights with obligations reviewed by counsel.,High
The agreement includes limited indemnity and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes limited indemnity and standard notice period with obligations reviewed by counsel.,Low
The agreement includes unlimited liability and missing audit rights with obligations reviewed by counsel.,High
The agreement includes unlimited liability and no termination right with obligations reviewed by counsel.,High
The agreement includes exclusive remedy and unlimited liability with obligations reviewed by counsel.,High
The agreement includes auto renewal and unlimited liability with obligations reviewed by counsel.,High
The agreement includes defined service levels and clear payment terms with obligations reviewed by counsel.,Low
The agreement includes clear payment terms and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes no termination right and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes limited indemnity and defined service levels with obligations reviewed by counsel.,Low
The agreement includes defined service levels and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes clear payment terms and data protection schedule with obligations reviewed by counsel.,Low
The agreement includes clear payment terms and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes auto renewal and exclusive remedy with obligations reviewed by counsel.,High
The agreement includes auto renewal and unlimited liability with obligations reviewed by counsel.,High
The agreement includes clear payment terms and standard notice period with obligations reviewed by counsel.,Low
The agreement includes clear payment terms and standard notice period with obligations reviewed by counsel.,Low
The agreement includes standard notice period and mutual confidentiality with obligations reviewed by counsel.,Low
The agreement includes penalty fees and auto renewal with obligations reviewed by counsel.,High
The agreement includes auto renewal and penalty fees with obligations reviewed by counsel.,High
The agreement includes data protection schedule and standard notice period with obligations reviewed by counsel.,Low
The agreement includes mutual confidentiality and limited indemnity with obligations reviewed by counsel.,Low
The agreement includes standard notice period and defined service levels with obligations reviewed by counsel.,Low
The agreement includes defined service levels and mutual confidentiality with obligations reviewed by counsel.,Low
